3.1 ACCEPT DATE
3.17.32.1 DELETE SCHEDULE
3.17.32.2 DELETE SCHEDULE
3.17.33 DELETE SCRATCHPADENTRY
3.17.34 DELETE SCRIPT
3.17.35 DELETE SERVER
3.17.36 DELETE SERVERGROUP
3.17.37 DELETE SPACETRIGGER
3.17.38 DELETE STATUSTHRESHOLD
3.17.39 DELETE STGPOOL
3.17.40 DELETE STGPOOLDIRECTORY
3.17.41 DELETE STGRULE
3.17.42 DELETE SUBRULE
3.17.43 DELETE SUBSCRIBER
3.17.44 DELETE SUBSCRIPTION
3.17.45 DELETE VIRTUALFSMAPPING
3.17.46 DELETE VOLHISTORY
3.17.47 DELETE VOLUME
3.18 DISABLE
3.18.1 DISABLE EVENTS
3.18.2 DISABLE REPLICATION
3.18.3 DISABLE SESSIONS
3.19 DISMOUNT
3.19.1 DISMOUNT VOLUME
3.20 DISPLAY OBJNAME
3.21 ENABLE
3.21.1 ENABLE EVENTS
3.21.2 ENABLE REPLICATION
3.21.3 ENABLE SESSIONS
3.22 ENCRYPT STGPOOL
3.23 END EVENTLOGGING
3.24 EXPIRE INVENTORY
3.25 EXPORT
3.25.1 EXPORT ADMIN
3.25.1.1 EXPORT ADMIN
3.25.1.2 EXPORT ADMIN
3.25.2 EXPORT NODE
3.25.2.1 EXPORT NODE
3.25.2.2 EXPORT NODE
3.25.3 EXPORT POLICY
3.25.3.1 EXPORT POLICY
3.25.3.2 EXPORT POLICY
3.25.4 EXPORT SERVER
3.25.4.1 EXPORT SERVER
3.25.4.2 EXPORT SERVER
3.26 EXTEND DBSPACE
3.27 GENERATE
3.27.1 GENERATE BACKUPSET
3.27.2 GENERATE BACKUPSETTOC
3.27.3 GENERATE DEDUPSTATS
3.28 GRANT
3.28.1 GRANT AUTHORITY
3.28.2 GRANT PROXYNODE
3.29 HALT
3.30 HELP
3.31 IDENTIFY DUPLICATES
3.32 IMPORT
3.32.1 IMPORT ADMIN
3.32.2 IMPORT NODE
3.32.3 IMPORT POLICY
3.32.4 IMPORT SERVER
3.33 INSERT MACHINE
3.34 ISSUE MESSAGE
3.35 LABEL LIBVOLUME
3.36 LOAD DEFALERTTRIGGERS
3.37 LOCK
3.37.1 LOCK ADMIN
3.37.2 LOCK NODE
3.37.3 LOCK PROFILE
3.38 MACRO
3.39 MIGRATE STGPOOL
3.40 MOVE
3.40.1 MOVE CONTAINER
3.40.2 MOVE DATA
3.40.3 MOVE DRMEDIA
3.40.4 MOVE GRPMEMBER
3.40.5 MOVE MEDIA
3.40.6 MOVE NODEDATA
3.40.6.1 MOVE NODEDATA
3.40.6.2 MOVE NODEDATA
3.41 NOTIFY SUBSCRIBERS
3.42 PERFORM LIBACTION
3.43 PING SERVER
3.44 PREPARE
3.45 PROTECT STGPOOL
3.46 QUERY
3.46.1 QUERY ACTLOG
3.46.2 QUERY ADMIN
3.46.3 QUERY ALERTTRIGGER
3.46.4 QUERY ALERTSTATUS
3.46.5 QUERY ASSOCIATION
3.46.6 QUERY AUDITOCCUPANCY
3.46.7 QUERY BACKUPSET
3.46.8 QUERY BACKUPSETCONTENTS
3.46.9 QUERY CLEANUP
3.46.10 QUERY CLOPTSET
3.46.11 QUERY COLLOCGROUP
3.46.12 QUERY CONTAINER
3.46.13 QUERY CONTENT
3.46.14 QUERY CONVERSION
3.46.15 QUERY COPYGROUP
3.46.16 QUERY DAMAGED
3.46.17 QUERY DATAMOVER
3.46.18 QUERY DB
3.46.19 QUERY DBSPACE
3.46.20 QUERY DEDUPSTATS
3.46.21 QUERY DEVCLASS
3.46.22 QUERY DIRSPACE
3.46.23 QUERY DOMAIN
3.46.24 QUERY DRIVE
3.46.25 QUERY DRMEDIA
3.46.26 QUERY DRMSTATUS
3.46.27 QUERY ENABLED
3.46.28 QUERY EVENT
3.46.28.1 QUERY EVENT
3.46.28.2 QUERY EVENT
3.46.29 QUERY EVENTRULES
3.46.30 QUERY EVENTSERVER
3.46.31 QUERY EXPORT
3.46.32 QUERY EXTENTUPDATES
3.46.33 QUERY FILESPACE
3.46.34 QUERY FSCOUNTS
3.46.35 QUERY JOB
3.46.36 QUERY LIBRARY
3.46.37 QUERY LIBVOLUME
3.46.38 QUERY LICENSE
3.46.39 QUERY LOG
3.46.40 QUERY MACHINE
3.46.41 QUERY MEDIA
3.46.42 QUERY MGMTCLASS
3.46.43 QUERY MONITORSETTINGS
3.46.44 QUERY MONITORSTATUS
3.46.45 QUERY MOUNT
3.46.46 QUERY NASBACKUP
3.46.47 QUERY NODE
3.46.48 QUERY NODEDATA
3.46.49 QUERY NODEGROUP
3.46.50 QUERY OCCUPANCY
3.46.51 QUERY OPTION
3.46.52 QUERY PATH
3.46.53 QUERY POLICYSET
3.46.54 QUERY PROCESS
3.46.55 QUERY PROFILE
3.46.56 QUERY PROTECTSTATUS
3.46.57 QUERY PROXYNODE
3.46.58 QUERY PVUESTIMATE
3.46.59 QUERY RECOVERYMEDIA
3.46.60 QUERY REPLFAILURES
3.46.61 QUERY REPLICATION
3.46.62 QUERY REPLNODE
3.46.63 QUERY REPLRULE
3.46.64 QUERY REPLSERVER
3.46.65 QUERY REQUEST
3.46.66 QUERY RESTORE
3.46.67 QUERY RETRULE
3.46.68 QUERY RETSET
3.46.69 QUERY RETSETCONTENTS
3.46.70 QUERY RPFCONTENT
3.46.71 QUERY RPFILE
3.46.72 QUERY SAN
3.46.73 QUERY SCHEDULE
3.46.73.1 QUERY SCHEDULE
3.46.73.2 QUERY SCHEDULE
3.46.74 QUERY SCRATCHPADENTRY
3.46.75 QUERY SCRIPT
3.46.76 QUERY SERVER
3.46.77 QUERY SERVERGROUP
3.46.78 QUERY SESSION
3.46.79 QUERY SHREDSTATUS
3.46.80 QUERY SPACETRIGGER
3.46.81 QUERY STATUS
3.46.82 QUERY STATUSTHRESHOLD
3.46.83 QUERY STGPOOL
3.46.84 QUERY STGPOOLDIRECTORY
3.46.85 QUERY STGRULE
3.46.86 QUERY SUBRULE
3.46.87 QUERY SUBSCRIBER
3.46.88 QUERY SUBSCRIPTION
3.46.89 QUERY SYSTEM
3.46.90 QUERY TAPEALERTMSG
3.46.91 QUERY TOC
3.46.92 QUERY VIRTUALFSMAPPING
3.46.93 QUERY VOLHISTORY
3.46.94 QUERY VOLUME
3.47 QUIT
3.48 RECLAIM STGPOOL
3.49 RECONCILE VOLUMES
3.50 REGISTER
3.50.1 REGISTER ADMIN
3.50.2 REGISTER LICENSE
3.50.3 REGISTER NODE
3.51 REMOVE
3.51.1 REMOVE ADMIN
3.51.2 REMOVE DAMAGED
3.51.3 REMOVE NODE
3.51.4 REMOVE REPLNODE
3.51.5 REMOVE REPLSERVER
3.51.6 REMOVE STGPROTECTION
3.52 RENAME
3.52.1 RENAME ADMIN
3.52.2 RENAME FILESPACE
3.52.3 RENAME NODE
3.52.4 RENAME RETRULE
3.52.5 RENAME SCRIPT
3.52.6 RENAME SERVERGROUP
3.52.7 RENAME STGPOOL
3.53 REPAIR STGPOOL
3.54 REPLICATE NODE
3.55 REPLY
3.56 RESET PASSEXP
3.57 RESTART EXPORT
3.58 RESTORE
3.58.1 RESTORE NODE
3.58.2 RESTORE STGPOOL
3.58.3 RESTORE VOLUME
3.59 REVOKE
3.59.1 REVOKE AUTHORITY
3.59.2 REVOKE PROXYNODE
3.60 ROLLBACK
3.61 RUN
